time,comment
00:00.0,"mysterieus wit"
00:12.0,"vrolijk oranje"
00:36.0,"vrolijk oranje"
00:52.0,"vuurig rood"
01:14.0,"speels geel"
01:43.0,"vrolijk violet"
02:16.0,"rustig goud"
02:52.0,"machtig rood"
03:35.0,"?"
03:59.0,"speels kleur"
04:05.0,"speels kleur"
04:17.0,"overgangsfeer"
04:34.0,"ochtend"
04:40.0,"veel energie"
05:04.0,"sport showtje"
05:56.0,"dans feest"
06:13.0,"eind sfeer"
06:22.0,"heldhaftig"
07:10.0,"gemoedelijk"
07:47.0,"bloesems"
08:34.0,"vriendschap"
09:19.0,"vrolijk gezelli"
09:47.0,"feest avond"
10:19.0,"chaos onrust"
10:23.0,"drama paars"
11:00.0,"drama paars"
11:23.0,"romantisch"
11:29.0,"roze zacht"
11:34.0,"romantisch"
11:46.0,"vriendschap"
12:25.0,"einde"
