time,comment
0:00:00,"rabbit stress"
0:00:16,"center white"
0:00:31,"blue fear duo"
0:00:59,"blue reset"
0:01:10,""
01:24.0,""
01:50.0,""
02:07.0,""
02:18.0,""
02:32.0,""
02:43.0,""
03:10.0,""
0:03:23,""
03:27.0,""
04:05.0,""
04:15.0,""
04:25.0,""
05:14.0,""
05:24.0,""
05:31.0,""
05:42.0,""
06:19.0,"orange dance"
06:45.0,"dark DD focus"
06:50.0,"dark DD focus"
07:21.0,""
07:28.0,""
07:34.0,""
07:53.0,""
08:00.0,""
08:03.0,""
08:07.0,""
08:21.0,""
08:40.0,""
09:15.0,""
09:39.0,""
09:43.0,""
09:48.0,""
09:52.0,""
09:56.0,""
10:13.0,""
10:14.0,""
10:23.0,""
10:36.0,""
11:22.0,""
