time,comment
00:00.0,"dark intro step"
00:07.0,"oranje dansen"
00:14.0,"groen wild"
00:29.0,"rood fade out"
00:35.0,"dark reset nele"
00:37.5,"donker sweep"
00:40.5,"roze big rope"
00:53.3,"roze big rope"
01:03.9,"roze 2 ropes"
01:14.5,"paars awards"
01:26.5,"blauw dance 2"
01:32.0,"wit center"
01:33.0,"wit fill mh"
01:41.5,"rood speed"
01:49.3,"rood chaos"
01:56.5,"rood hold"
02:11.9,"paars happy"
02:34.3,"center spot"
02:54.0,"rood finale"
03:03.0,"front walk-up"
03:07.0,"rood dreiging"
03:14.1,"wit beam solo"
03:16.4,"rode silh."
03:21.2,"rood feest"
03:35.8,"wit front"
03:44.1,"white jump"
03:54.9,"rood mosaic"
04:06.0,"wit flicker"
04:07.8,"blauw veld"
04:20.5,"amazon groen"
04:31.2,"jamaica geel"
04:52.0,"wit rave move"
05:03.9,"wit handstand"
05:30.0,"finale swing"
05:35.0,"blauw return"
05:54.0,"oranje dance"
06:15.0,"paars dance"
06:32.0,"dark middle"
06:42.0,"donker left"
06:47.0,"donker right"
06:52.0,"donker left"
06:56.0,"donker right"
07:01.0,"oranje together"
07:20.0,"rood finale"
07:30.0,"blackout"
